,anom,cloud,lat,long,pbl,sat_alt,sat_lat,sat_long,sza,time
8031,0,,32.13594436645508,27.2004451751709,-0.11539275199174881,846065.1875,-49.22064971923828,58.582305908203125,11.872720718383789,b'2013-07-18T10:11:22.013016Z'
8032,0,,32.570987701416016,28.156227111816406,0.2706378698348999,845887.25,-48.79103469848633,58.39580535888672,12.58182430267334,b'2013-07-18T10:11:29.501311Z'
8033,0,,32.929649353027344,29.01776885986328,0.005169359035789967,845708.75,-48.36117172241211,58.2119255065918,13.21523380279541,b'2013-07-18T10:11:36.989567Z'
8034,0,,33.23015594482422,29.80510711669922,0.0317748561501503,845529.375,-47.93106460571289,58.03058624267578,13.788020133972168,b'2013-07-18T10:11:44.477849Z'
8035,0,,33.48550033569336,30.532922744750977,-0.2307996153831482,845349.375,-47.50072479248047,57.851715087890625,14.31201457977295,b'2013-07-18T10:11:51.966118Z'
8036,0,,33.705196380615234,31.212440490722656,0.19499216973781586,845168.9375,-47.07014846801758,57.67522430419922,14.796571731567383,b'2013-07-18T10:11:59.454398Z'
8037,0,,33.89638900756836,31.852542877197266,0.42991209030151367,844987.875,-46.639347076416016,57.50104904174805,15.24917984008789,b'2013-07-18T10:12:06.942671Z'
8038,0,,34.06449890136719,32.46046447753906,0.5743998289108276,844806.125,-46.20832824707031,57.32912063598633,15.67592716217041,b'2013-07-18T10:12:14.430954Z'
8039,0,,34.21371841430664,33.04227066040039,0.35810455679893494,844624.3125,-45.77709197998047,57.15937042236328,16.081844329833984,b'2013-07-18T10:12:21.919220Z'
8040,0,,34.34730529785156,33.603153228759766,0.12681789696216583,844441.625,-45.345645904541016,56.991729736328125,16.47117042541504,b'2013-07-18T10:12:29.407501Z'
8041,0,,34.46780776977539,34.14768600463867,0.4973016679286957,844258.875,-44.91399383544922,56.826141357421875,16.847536087036133,b'2013-07-18T10:12:36.895775Z'
8042,0,,34.57722854614258,34.67997741699219,-0.07269397377967834,844076.0625,-44.48214340209961,56.66254425048828,17.21413230895996,b'2013-07-18T10:12:44.384055Z'
8043,0,,34.6771240234375,35.20381546020508,0.4057210087776184,843892.375,-44.05009841918945,56.50087356567383,17.573810577392578,b'2013-07-18T10:12:51.872321Z'
8044,0,,34.76869583129883,35.722782135009766,-0.4980420768260956,843708.3125,-43.617855072021484,56.341087341308594,17.92919921875,b'2013-07-18T10:12:59.360606Z'
8045,0,,34.82850646972656,36.08496856689453,0.029868824407458305,843524.75,-43.185428619384766,56.18312072753906,18.17683982849121,b'2013-07-18T10:13:06.848878Z'
8046,0,,34.86897659301758,36.343955993652344,-0.16259531676769257,843340.1875,-42.7528190612793,56.02692413330078,18.353553771972656,b'2013-07-18T10:13:14.337161Z'
8047,0,,34.93021774291992,36.759925842285156,0.5008615255355835,843156.0,-42.320030212402344,55.8724479675293,18.636917114257812,b'2013-07-18T10:13:21.825429Z'
